index,news_id,sentence,domain,label_0,label_1,label_2,label,split
0,0,"Am fost la <PERSON> care se holba la capre (The Men Who Stare at Goats) din două motive: trailer şi distribuţie (<PERSON>, <PERSON>, <PERSON>, <PERSON>).",cronica-de-film,0,0,0,0,train
1,0,Ambele promiteau un film reuşit.,cronica-de-film,0,0,0,0,train
2,0,"N-am fost dezamăgit de film, însă am plecat cu senzaţia că se putea face un scenariu mai bun.",cronica-de-film,1,0,0,0,train
3,0,"Ideea e chiar simpatică, însă imaginaţia scenariştilor nu s-a ridicat nici pe departe la nivelul ei.",cronica-de-film,1,0,0,0,train
4,0,"Pe scurt, un <PERSON> pleacă în <GPE> pentru a-i recâştiga respectul <PERSON> sale, care tocmai se combinase cu <PERSON> său.",cronica-de-film,1,0,0,0,train
5,0,"Acolo dă peste un tip care a făcut parte dintr-o unitate ultrasecretă a armatei americane, compusă din <PERSON> cu puteri paranormale, un fel de mediumi, autointitulaţi războinici Jedi.",cronica-de-film,0,0,1,0,train
6,0,"Nişte tip haioşi, dealtfel: în loc să tragă cu arma şi să facă pe durii, precum <PERSON> standard, aceştia dansau, miroseau flori, erau un fel de pacifişti ecologici (de exemplu, foloseau arme biodegradabile, care nu poluzează mediul).",cronica-de-film,0,0,1,0,train
7,0,Nivelul maxim spre care tindeau era să ucidă cu puterea minţii.,cronica-de-film,1,0,1,1,train
8,0,"De aici vine şi numele filmului, pentru că băieţii se antrenau pe capre, se holbau la ele încercând să le oprească inima.",cronica-de-film,1,0,1,1,train
9,0,Ideea nu e nici pe departe exploatată suficient.,cronica-de-film,1,0,0,0,train
10,0,"Iar în spatele scenariului se ascunde ideea americană cu urmăreşte-ţi visul, găseşte-ţi destinul şi fă tot posibilul să ţi-l îndeplineşti.",cronica-de-film,1,0,0,0,train
11,0,"Nu e un film prost, dar nici nu se remarcă în mod deosebit.",cronica-de-film,0,0,0,0,train
12,0,"Cam ca <PERSON>, talentat, dar nu prea se omoară cu fotbalul.",cronica-de-film,1,1,1,1,train
13,1,"Din câte știm, <PERSON> a decis să se retragă în 2013.",cronica-de-film,0,0,0,0,validation
14,1,Să vedem.,cronica-de-film,0,0,0,0,validation
15,1,"<PERSON> (<PERSON>) este, aflăm într-un târziu, un fost mare <PERSON> în <GPE>, atât de mare că până și <PERSON> s-ar fi scăpat în chiloți dacă ar fi știut că-l are în vizor.",cronica-de-film,1,1,1,1,validation
16,1,"Acum tocmai a împlinit 94 de ani și puhoi de <PERSON> (că nu mai știi care-i <PERSON>, de sânge sau de altceva, care-i <PERSON>, <PERSON> etc.) vin să-l aniverseze, fiecare cu gânduri – ca să vezi – mai mult sau mai puțin meschine.",cronica-de-film,0,1,1,1,validation
17,1,Ideea e: îl iubește careva pe <PERSON>?,cronica-de-film,1,0,1,1,validation
18,1,"Despre bărbatu-său (jucat de <PERSON>) nu poți fi sigur: e și nu <PERSON> bun, ai zice că-i un <PERSON> din ălea, <LOC>, dar e doar confuz.",cronica-de-film,0,0,1,0,validation
19,1,"Poți să spui doar că e împins în intrigă cu tema (ideea) care se dorește principală: de ziua lui, <PERSON>, care pe vremuri se presupune că se delecta cu confesiuni de dușmanii-poporului, primește cadou o spovedanie.",cronica-de-film,0,1,1,1,validation
20,1,"A lui, proprie și personală.",cronica-de-film,0,1,0,0,validation
21,1,La popă.,cronica-de-film,0,0,0,0,validation
22,1,"<PERSON>, ateu convins.",cronica-de-film,0,0,0,0,validation
23,1,"Mă rog, mai tre să-l convingă <PERSON> să accepte.",cronica-de-film,0,0,0,0,validation
24,1,"Apoi, partea cea mai interesantă ar fi fost interacțiunea moșului cu <PERSON>.",cronica-de-film,0,0,0,0,validation
25,1,"OK, nu vorbim.",cronica-de-film,0,0,0,0,validation
26,1,Îi chestie simbolică la mijloc.,cronica-de-film,0,0,0,0,validation
27,1,"După o mișcare de cameră în plonjeu deasupra lui <PERSON> culcat (o fi o artă aici de care nu m-am prins), avem, în câteva rânduri, niște <PERSON>, fixe, cu <PERSON>: se dă jos din pat, e spălat, în cadă, de două <PERSON> (una fiind Vica/ <PERSON>).",cronica-de-film,1,0,0,0,validation
28,1,"Pe fundal, discuții din camerele vecine.",cronica-de-film,0,0,0,0,validation
29,1,Așa cum puteau lipsi jumătate din personaje.,cronica-de-film,1,0,0,0,validation
30,1,Și trei sferturi din dialoguri (confruntarea dintre religie și psihologie/ știință e contextualizată artificial etc.,cronica-de-film,1,0,0,0,validation
31,1,"Și tot atâtea situații, care sufocă tema principală și care, în parte, sunt neverosimile.",cronica-de-film,1,0,0,0,validation
32,1,"Culmea inutilității e apariția de sitcom a <PERSON> chemat de vecini, pe care îl pune la punct personajul lui <PERSON>, reprezentantul noii generații de securiști (mă rog, e parlamentar, dar înțelegeți unde bat).",cronica-de-film,1,0,1,1,validation
33,1,"Nota e mărită pentru jocul unora, printre care <PERSON>, <PERSON> și <PERSON>.",cronica-de-film,0,0,0,0,validation
34,1,Notă: 6.,cronica-de-film,0,0,0,0,validation
35,2,"Continuăm cu recomandările de filme mai puțin cunoscute, dar care merită văzute, din 2016.",cronica-de-film,1,0,0,0,train
36,2,"Criteriile de selecție: gradul de entertainment, originalitatea poveștii/ a scenariului, imaginația/ inventivitatea, deschiderea spre reflecție, calitatea cinematografică (regie, montaj, jocul actorilor etc.",cronica-de-film,0,0,0,0,train
37,2,") Gog-seong (The Wailing/ Satul blestemat) (<GPE>, 2016) (fantastic, horror, mister) Următoarele două filme recomandate nu sunt chiar dintre producțiile obișnuite de Crăciun.",cronica-de-film,0,0,0,0,train
38,2,"Dar ambele au ceva ce puține filme cu ho-ho-ho, zurgălăi și reîntregiri de familii au: substanță, o poveste cât de cât originală și spusă remarcabil.",cronica-de-film,0,0,0,0,train
39,2,"Desigur, sud-coreenii ne-au dat anul trecut o capodoperă, Ah-ga-ssi , primul film căruia i-am dat nota 10.",cronica-de-film,0,0,0,0,train
40,2,Dar nu e singurul cu adevărat bun pe care ni l-au livrat anul trecut.,cronica-de-film,0,0,0,0,train
41,2,"Așa cum o poate garanta oricare cinefil cu ceva deschidere, la capitolul horror, asiaticii sunt neîntrecuți, iar, de ceva ani încoace, <GPE> este campioană indiscutabilă.",cronica-de-film,1,0,0,0,train
42,2,Gog-seong confirmă asta.,cronica-de-film,1,0,0,0,train
43,2,"Poate nu știm noi multe despre cultura ochilor oblici aflați la sud de ghidușul care amenință <LOC> cu bomba, dar și noi suntem capabili să ne înspăimântăm la fel de bine, cred.",cronica-de-film,1,0,0,0,train
44,2,"Și dacă avem o poveste bună, să o apreciem pe măsură.",cronica-de-film,0,0,0,0,train
